Nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,mungbean
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,mungbean
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,pigeonpeas
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
126,50,19,24.69457084,81.7358876,6.628722836,78.58494391,cotton
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,cotton
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,blackgram
126,46,25,24.43847399,81.69801729,6.757457943,60.79645852,cotton
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
16,71,24,18.33124824,38.40975482,4.946369874,139.6483317,pigeonpeas
36,61,21,34.53823889,39.04468913,5.617008201,168.5948318,pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,pigeonpeas
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
16,77,22,31.48469278,35.6395615,6.574209678,100.546816,pigeonpeas
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas
104,47,18,23.9656349,76.97696717,7.633437412,90.75616738,cotton
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,cotton
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,pigeonpeas
29,78,25,19.95991719,59.33157782,5.982854523,195.787103,pigeonpeas
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
118,44,23,22.08458267,82.82904143,6.691690476,67.06459777,cotton
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,mungbean
23,75,25,31.07508973,47.19847683,7.077170002,91.31256412,pigeonpeas
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
27,57,24,27.33534897,43.35795962,6.09186275,142.3303677,pigeonpeas
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,mungbean
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton
21,62,24,33.49077065,62.73317204,6.847382891,65.45328463,blackgram
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,blackgram
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
27,71,23,23.45379018,46.48714759,7.10959773,150.8712202,pigeonpeas
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,blackgram
109,36,18,25.40059227,76.53237965,7.524707577,62.5138867,cotton
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton
28,59,22,30.90607799,52.79913039,7.05181629,170.9919828,pigeonpeas
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
111,40,25,24.484692,84.44932014,6.187455799,90.94342484,cotton
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
127,53,24,22.21506982,76.17851932,6.127939628,70.40557612,cotton
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean
7,77,18,20.5591255,60.54880693,6.655918078,191.0895109,pigeonpeas
34,75,24,23.50222822,51.29019509,4.760038039,192.3023991,pigeonpeas
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean
5,55,18,33.50876355,45.70976142,7.322097972,126.6738117,pigeonpeas
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean
28,59,22,30.90607799,52.79913039,7.05181629,170.9919828,pigeonpeas
37,73,21,29.50304807,63.46513414,5.560224583,189.5208915,pigeonpeas
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
30,60,21,28.87667593,62.4901206,5.457871273,182.2688175,pigeonpeas
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
131,60,17,25.32023717,81.79475917,7.425041316,83.46532547,cotton
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram
119,44,15,22.14593688,82.8597549,7.091992365,60.65381719,cotton
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,blackgram
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,pigeonpeas
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
131,35,18,24.49112609,82.24415809,7.057693366,64.02949379,cotton
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,blackgram
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,blackgram
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,blackgram
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
29,76,15,28.5417236,64.2020154,7.025607706,69.68862306,blackgram
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,blackgram
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,mungbean
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
100,52,19,23.45969093,82.44777468,7.903528673,93.50153555,cotton
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,pigeonpeas
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,mungbean
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,blackgram
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram
13,73,20,30.50420876,35.48885969,5.391560418,162.5927723,pigeonpeas
123,44,21,25.78544484,75.00539324,7.641116569,91.39578861,cotton
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,blackgram
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,mungbean
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
16,77,22,31.48469278,35.6395615,6.574209678,100.546816,pigeonpeas
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,pigeonpeas
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
106,46,20,23.43821725,78.63388824,6.200671976,81.15072105,cotton
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
5,62,23,27.9348279,66.45457122,4.722222454,145.3728801,pigeonpeas
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,pigeonpeas
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,pigeonpeas
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,cotton
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,pigeonpeas
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
41,74,18,28.75751783,61.02701476,6.599147298,73.37686831,blackgram
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,blackgram
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
10,71,18,19.54284889,66.34777265,6.151029296,173.1106982,pigeonpeas
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
7,77,18,20.5591255,60.54880693,6.655918078,191.0895109,pigeonpeas
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
130,59,19,25.07278712,82.50257909,6.520403794,93.51042684,cotton
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,mungbean
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,pigeonpeas
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,cotton
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
101,37,18,22.92360984,82.68738535,7.63737841,92.91915074,cotton
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,cotton
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,pigeonpeas
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,blackgram
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,pigeonpeas
100,48,17,23.7805123,83.03878838,7.827877818,66.26555904,cotton
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas
17,67,18,31.2192752,56.46868874,5.611510977,129.2028653,pigeonpeas
114,40,23,25.53676123,81.13668716,6.753978061,95.4262599,cotton
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,blackgram
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram
113,38,20,22.10718988,78.58320116,6.364729934,74.94136567,cotton
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,pigeonpeas
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
20,77,23,34.87248659,38.83786012,5.180271502,148.2502786,pigeonpeas
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas
20,60,22,29.65052947,42.89833235,6.876572503,186.9226052,pigeonpeas
111,39,22,22.60361557,80.3509046,6.135025006,88.57395505,cotton
